	Unnamed: 0	사고내용	사고유형	요일	사고발생시간	경도	위도	법정동	인구밀도
647	656	경상사고	차대차	토요일	보통	126.84022917467414	37.558499832516326	등촌3동	38878
648	657	경상사고	차대차	토요일	보통	126.80714685076366	37.56206891437358	방화2동	3690
649	658	중상사고	차대차	토요일	보통	126.84788412771653	37.528473498346536	화곡1동	47116
650	659	경상사고	차대차	토요일	사고발생 피크 시간	126.80378662323716	37.57152222151913	방화2동	3690
651	660	경상사고	차대차	토요일	사고발생 피크 시간	126.84818113910386	37.529457606317045	화곡8동	46772
652	661	경상사고	차대차	일요일	보통	126.82207224491069	37.584319492240496	방화3동	8990
653	662	경상사고	차대차	일요일	보통	126.85178359871132	37.52906281514983	화곡8동	46772
654	663	경상사고	차대차	일요일	보통	126.85142855369696	37.53085454644014	화곡8동	46772
655	664	중상사고	차대차	일요일	사고발생 피크 시간	126.8564039213931	37.53665038518692	화곡4동	25390
656	665	경상사고	차대차	일요일	사고발생 피크 시간	126.85686134304903	37.563774325468565	가양3동	30276
657	666	중상사고	차대차	일요일	보통	126.83858235651932	37.538579937143886	화곡1동	47116
658	667	경상사고	차대차	일요일	보통	126.85433176923708	37.55249373160739	화곡6동	22609
659	668	경상사고	차대차	월요일	보통	126.82626588311663	37.55381511924495	발산1동	12439
660	669	경상사고	차대사람	월요일	보통	126.8411689570011	37.56878037341276	가양1동	7318
661	670	경상사고	차대차	월요일	사고발생 피크 시간	126.8371649256279	37.55932091703251	가양1동	7318
662	671	중상사고	차대사람	월요일	사고발생 피크 시간	126.81213930051864	37.55846570526002	공항동	2896
663	672	경상사고	차대사람	월요일	보통	126.86532037646305	37.55567196167139	염창동	24002
664	673	경상사고	차대차	월요일	보통	126.80829437648836	37.56164299996894	공항동	2896
665	674	경상사고	차대차	화요일	보통	126.8379537782921	37.55846005484439	발산1동	12439
666	675	중상사고	차대사람	화요일	사고발생 피크 시간	126.84133618478572	37.569078748989625	가양1동	7318
667	676	중상사고	차대사람	화요일	사고발생 피크 시간	126.84375291004682	37.56724445927157	가양1동	7318
668	677	중상사고	차대차	화요일	보통	126.8079657891279	37.56166811454666	공항동	2896
669	678	경상사고	차대차	화요일	보통	126.80538061352	37.56205853568972	방화2동	3690
670	679	경상사고	차대차	수요일	보통	126.8488882920714	37.55095859463919	화곡6동	22609
671	680	중상사고	차대차	수요일	보통	126.85185395244903	37.56277349148023	등촌3동	38878
672	681	경상사고	차대차	수요일	보통	126.8379379935308	37.55768481206229	발산1동	12439
673	682	경상사고	차대차	수요일	사고발생 피크 시간	126.84817512968998	37.5366503176597	화곡8동	46772
674	683	경상사고	차대차	수요일	사고발생 피크 시간	126.83761398508122	37.567426496096815	가양1동	7318
675	684	중상사고	차대차	수요일	사고발생 피크 시간	126.85068465278674	37.55660188338069	등촌3동	38878
676	685	경상사고	차대차	목요일	보통	126.82338986316356	37.54258596629515	발산1동	12439
677	686	중상사고	차대차	목요일	보통	126.8603829521822	37.53063298018701	화곡4동	25390
678	687	경상사고	차대차	목요일	보통	126.82042234186495	37.57394461583501	방화3동	8990
679	688	중상사고	차대차	목요일	사고발생 피크 시간	126.86266008521072	37.5569645793129	등촌1동	38181
680	689	부상신고사고	차대차	목요일	사고발생 피크 시간	126.86158113415098	37.554705391010366	등촌1동	38181
681	690	중상사고	차대사람	목요일	보통	126.8564647486096	37.56380821799112	가양2동	14109
683	692	경상사고	차대차	금요일	보통	126.84499137035225	37.53442440344302	화곡1동	47116
684	693	경상사고	차대차	금요일	보통	126.84229509062236	37.53212901156027	화곡1동	47116
685	694	경상사고	차대차	금요일	보통	126.87764946410016	37.54753535462488	염창동	24002
686	695	중상사고	차대차	금요일	보통	126.86245499559814	37.54249689171655	등촌2동	22199
687	696	부상신고사고	차대차	금요일	사고발생 피크 시간	126.87363463778698	37.54706345252526	염창동	24002
688	698	경상사고	차대차	토요일	보통	126.82947410841746	37.56723632928895	가양1동	7318
689	699	경상사고	차대차	일요일	보통	126.86397297154036	37.55168978369775	등촌1동	38181
690	700	경상사고	차대차	일요일	보통	126.87676794397645	37.55415559113228	염창동	24002
691	702	경상사고	차대차	월요일	보통	126.84017320264492	37.55842741234	등촌3동	38878
692	703	경상사고	차대사람	월요일	보통	126.84679100868658	37.53053154161806	화곡1동	47116
693	704	경상사고	차대차	월요일	보통	126.85418278963336	37.55926200470413	등촌1동	38181
694	705	중상사고	차대사람	월요일	보통	126.81810314887797	37.55505717692365	공항동	2896
695	706	중상사고	차대사람	월요일	사고발생 피크 시간	126.84931499038298	37.54224494620376	화곡본동	35318
696	707	경상사고	차대차	월요일	보통	126.84754195867332	37.53007600604249	화곡1동	47116
697	708	경상사고	차대차	화요일	보통	126.8267677356312	37.559694730681606	발산1동	12439
698	709	중상사고	차대사람	화요일	보통	126.81231704622408	37.56622728064697	방화2동	3690
700	711	중상사고	차대사람	화요일	사고발생 피크 시간	126.86802972222706	37.55526286320265	염창동	24002
701	712	중상사고	차대차	수요일	보통	126.80596127649292	37.5580509862121	공항동	2896
702	713	경상사고	차대차	수요일	보통	126.83429924085142	37.55817811621518	발산1동	12439
703	714	경상사고	차대차	수요일	보통	126.8317061841324	37.55947942585755	가양1동	7318
704	715	경상사고	차대차	수요일	보통	126.8596499947855	37.56736781197877	가양3동	30276
705	716	경상사고	차대차	수요일	사고발생 피크 시간	126.80368214670165	37.59246867501171	방화2동	3690
706	717	부상신고사고	차대차	수요일	보통	126.84072039381124	37.541295928428376	화곡본동	35318
707	718	경상사고	차대차	목요일	보통	126.8467575445338	37.54863938514659	우장산동	31713
708	719	경상사고	차대차	목요일	보통	126.82591682004396	37.55988817050008	공항동	2896
709	720	경상사고	차대차	목요일	보통	126.8513422405537	37.553883441471946	화곡6동	22609
710	721	경상사고	차대차	목요일	보통	126.87307550129066	37.550296314423775	염창동	24002
711	722	경상사고	차대차	금요일	보통	126.84790093722069	37.52784264815581	화곡1동	47116
712	723	중상사고	차대사람	금요일	보통	126.84149213856254	37.528194665893125	화곡1동	47116
713	724	경상사고	차대사람	금요일	사고발생 피크 시간	126.8474061511618	37.53007525564663	화곡1동	47116
714	725	중상사고	차대사람	토요일	보통	126.84151123234814	37.54018267344797	화곡본동	35318
715	726	경상사고	차대차	토요일	보통	126.82689752582772	37.58176026746172	가양1동	7318
716	727	중상사고	차대차	토요일	보통	126.85230281867612	37.569779379147455	가양2동	14109
717	728	경상사고	차대차	토요일	보통	126.83886542232722	37.56035798161526	등촌3동	38878
718	729	경상사고	차대차	토요일	사고발생 피크 시간	126.8357228689611	37.56106141515279	가양1동	7318
719	730	경상사고	차대차	토요일	사고발생 피크 시간	126.8420226224725	37.54252902079194	우장산동	31713
720	731	경상사고	차대차	일요일	보통	126.84510730838824	37.53410957532149	화곡1동	47116
721	732	경상사고	차대차	일요일	보통	126.8460202172891	37.5332583555762	화곡8동	46772
723	734	사망사고	차대사람	일요일	보통	126.84988539993316	37.55216287613738	화곡6동	22609
724	735	경상사고	차대차	일요일	보통	126.82672507654046	37.55814418001917	발산1동	12439
725	736	경상사고	차대차	일요일	보통	126.81322191090295	37.576201357457805	방화3동	8990
726	737	경상사고	차대차	일요일	사고발생 피크 시간	126.8578908089146	37.56652000889256	가양2동	14109
727	738	중상사고	차대차	월요일	보통	126.82715610805332	37.56183312344297	공항동	2896
728	739	경상사고	차대차	월요일	보통	126.83900849124282	37.530055591877534	화곡1동	47116
729	740	부상신고사고	차대차	월요일	사고발생 피크 시간	126.84101043315874	37.56877948861433	가양1동	7318
730	741	경상사고	차대차	월요일	사고발생 피크 시간	126.81266068865072	37.55224047297128	공항동	2896
731	742	중상사고	차대차	화요일	보통	126.8490243726834	37.550932304666816	화곡6동	22609
732	743	경상사고	차대사람	화요일	보통	126.85359356457582	37.53178579068805	화곡2동	40213
734	745	경상사고	차대차	수요일	보통	126.83324955024104	37.55908254819147	가양1동	7318
735	746	중상사고	차대차	수요일	사고발생 피크 시간	126.84540450294143	37.54413418376614	화곡본동	35318
736	747	경상사고	차대차	수요일	사고발생 피크 시간	126.79895234284224	37.59555929460555	방화2동	3690
737	748	중상사고	차대차	목요일	보통	126.82652595127908	37.58026192665736	가양1동	7318
738	749	경상사고	차대차	목요일	보통	126.827225580276	37.56166226454551	가양1동	7318
739	750	중상사고	차대차	목요일	보통	126.85837455405476	37.52991002094552	화곡4동	25390
740	751	경상사고	차대차	목요일	보통	126.87844330495004	37.548729312183205	염창동	24002
741	752	중상사고	차대차	목요일	보통	126.85047577466725	37.57022902474037	가양2동	14109
743	754	경상사고	차대차	목요일	보통	126.8166629494366	37.55407540126387	공항동	2896
744	755	중상사고	차대차	금요일	보통	126.86311525093488	37.53141389241673	화곡4동	25390
745	756	경상사고	차대차	금요일	보통	126.8265451498104	37.58190247163671	가양1동	7318
746	757	중상사고	차대차	금요일	보통	126.85533012372372	37.56802030732147	가양2동	14109
747	758	경상사고	차대차	금요일	보통	126.85165442919008	37.5296029143741	화곡8동	46772
748	759	경상사고	차대차	금요일	사고발생 피크 시간	126.82101514623132	37.5622846893998	공항동	2896
749	760	경상사고	차대차	토요일	보통	126.84374347438876	37.53475097318214	화곡1동	47116
750	761	경상사고	차대차	토요일	보통	126.81263651671942	37.554872249832734	공항동	2896
751	762	경상사고	차대차	토요일	보통	126.84650676271096	37.53975975245431	화곡본동	35318
752	763	부상신고사고	차대차	토요일	보통	126.87230758673591	37.55681796829391	염창동	24002
753	764	중상사고	차대사람	토요일	보통	126.8369782711621	37.54844066185441	우장산동	31713
754	765	부상신고사고	차대사람	토요일	보통	126.84811258659272	37.52823139592171	화곡1동	47116
755	766	경상사고	차대차	토요일	사고발생 피크 시간	126.84253372236483	37.53846680151917	화곡본동	35318
756	767	경상사고	차대차	토요일	사고발생 피크 시간	126.8057749701481	37.56592760270116	방화2동	3690
757	768	경상사고	차대차	토요일	사고발생 피크 시간	126.84894154898062	37.527911483833016	화곡8동	46772
758	769	경상사고	차대사람	토요일	사고발생 피크 시간	126.8397787522252	37.53768528703507	화곡1동	47116
759	770	경상사고	차대차	토요일	보통	126.85019595805224	37.55681551705789	등촌3동	38878
760	771	경상사고	차대차	일요일	사고발생 피크 시간	126.8073732080599	37.56207925597476	방화2동	3690
761	772	중상사고	차대차	일요일	보통	126.84979080659608	37.568260330566055	가양2동	14109
762	773	중상사고	차대차	월요일	보통	126.87091316209344	37.54760781857404	염창동	24002
763	774	경상사고	차대차	화요일	보통	126.8168663881072	37.568993766102665	방화1동	29176
764	775	경상사고	차대차	화요일	사고발생 피크 시간	126.8366550882172	37.53892065101086	화곡1동	47116
765	777	경상사고	차대차	수요일	사고발생 피크 시간	126.87643439524471	37.54798863025852	염창동	24002
766	778	경상사고	차대사람	수요일	보통	126.84170455519516	37.56839578474436	가양1동	7318
768	780	중상사고	차대차	목요일	보통	126.85575894140244	37.53136497689624	화곡2동	40213
769	781	부상신고사고	차대차	목요일	보통	126.8739791481718	37.54783142317272	염창동	24002
770	782	경상사고	차대차	목요일	보통	126.82689203134323	37.559722479634544	공항동	2896
771	783	경상사고	차대차	목요일	사고발생 피크 시간	126.84014002826606	37.541644211166734	화곡3동	40870
772	784	중상사고	차대차	목요일	보통	126.83832340086931	37.54098507742531	화곡1동	47116
773	785	중상사고	차대사람	목요일	보통	126.84849267545924	37.56909142084013	가양2동	14109
774	786	중상사고	차대차	목요일	보통	126.88009316630044	37.54771946514232	염창동	24002
775	787	경상사고	차대사람	목요일	보통	126.863938550158	37.551743678932205	등촌1동	38181
776	788	중상사고	차대차	금요일	보통	126.85176104241418	37.52905367786662	화곡8동	46772
777	789	경상사고	차대차	금요일	보통	126.83939562340215	37.54262251464776	화곡3동	40870
778	790	부상신고사고	차대차	금요일	사고발생 피크 시간	126.8527061616993	37.55588289559894	등촌1동	38181
779	791	경상사고	차대차	금요일	보통	126.8381794123502	37.558551454088246	발산1동	12439
781	793	중상사고	차대사람	일요일	보통	126.85834377004808	37.56255656627361	가양3동	30276
782	794	중상사고	차대차	일요일	보통	126.85495209984572	37.56064526469285	등촌1동	38181
783	795	중상사고	차대차	일요일	보통	126.85077128623084	37.55314120169904	화곡6동	22609
784	796	중상사고	차대사람	일요일	사고발생 피크 시간	126.80504665678286	37.56753671490959	방화2동	3690
785	797	경상사고	차대사람	월요일	보통	126.83895525146497	37.53480538777823	화곡1동	47116
786	798	경상사고	차대차	월요일	보통	126.8514743466465	37.55300986397573	화곡6동	22609
787	799	경상사고	차대차	월요일	사고발생 피크 시간	126.80354462647064	37.57318827001316	방화1동	29176
788	800	경상사고	차대차	월요일	보통	126.85299842060331	37.552198002679866	화곡6동	22609
789	801	중상사고	차대차	화요일	보통	126.8636692312103	37.55146281103698	등촌2동	22199
790	802	중상사고	차대사람	화요일	보통	126.8165508654024	37.56758585005984	방화1동	29176
791	803	경상사고	차대차	화요일	보통	126.84756129584272	37.53045467854155	화곡8동	46772
792	804	경상사고	차대사람	화요일	보통	126.8356663392362	37.56105208365565	가양1동	7318
793	805	경상사고	차대차	수요일	보통	126.8068738349887	37.56342833516745	방화2동	3690
794	806	경상사고	차대차	수요일	사고발생 피크 시간	126.84795371030395	37.56726773612647	가양1동	7318
795	807	경상사고	차대차	수요일	사고발생 피크 시간	126.84117966370064	37.53026602048388	화곡1동	47116
796	808	중상사고	차대차	수요일	보통	126.83407582617691	37.5400238013484	화곡3동	40870
797	809	중상사고	차대사람	목요일	보통	126.81130013221808	37.57336897187714	방화1동	29176
798	810	중상사고	차대사람	목요일	사고발생 피크 시간	126.84776591615967	37.53425047766928	화곡8동	46772
